activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date
107993,CHEMBL677213,CHEMBL203,CHEMBL136058,IC50,8.8,nM,=,8.06,2026-03-21 13:33:18.447979
108287,CHEMBL680019,CHEMBL203,CHEMBL113128,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979
108291,CHEMBL680020,CHEMBL203,CHEMBL109547,IC50,,nM,,,2026-03-21 13:33:18.447979
108323,CHEMBL679947,CHEMBL203,CHEMBL51854,IC50,3.8,nM,=,8.42,2026-03-21 13:33:18.447979
108863,CHEMBL683041,CHEMBL203,CHEMBL939,IC50,515.0,nM,=,6.29,2026-03-21 13:33:18.447979
108868,CHEMBL683041,CHEMBL203,CHEMBL95320,IC50,850.0,nM,=,6.07,2026-03-21 13:33:18.447979
109085,CHEMBL679549,CHEMBL203,CHEMBL8271,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
109639,CHEMBL680020,CHEMBL203,CHEMBL323775,IC50,,nM,,,2026-03-21 13:33:18.447979
109692,CHEMBL679947,CHEMBL203,CHEMBL298931,IC50,17.0,nM,=,7.77,2026-03-21 13:33:18.447979
110218,CHEMBL677391,CHEMBL203,CHEMBL292323,IC50,6500.0,nM,=,5.19,2026-03-21 13:33:18.447979
110240,CHEMBL676146,CHEMBL203,CHEMBL334334,IC50,9000.0,nM,=,5.05,2026-03-21 13:33:18.447979
110242,CHEMBL676146,CHEMBL203,CHEMBL316764,IC50,100000.0,nM,>,,2026-03-21 13:33:18.447979
110479,CHEMBL673925,CHEMBL203,CHEMBL545315,IC50,1.5,nM,=,8.82,2026-03-21 13:33:18.447979
110480,CHEMBL677216,CHEMBL203,CHEMBL545315,IC50,7.4,nM,=,8.13,2026-03-21 13:33:18.447979
110481,CHEMBL623728,CHEMBL203,CHEMBL545315,Inhibition,80.0,%,>,,2026-03-21 13:33:18.447979
