activity_id,assay_chembl_id,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,pchembl_value,extraction_date,ic50_nM,log_ic50_nM
53212,CHEMBL674637,CHEMBL203,CHEMBL66570,IC50,13.0,nM,=,7.89,2026-03-21 13:33:18.447979,13.0,1.1139433523068367
53215,CHEMBL621151,CHEMBL203,CHEMBL66570,IC50,200.0,nM,=,6.7,2026-03-21 13:33:18.447979,200.0,2.3010299956639813
53217,CHEMBL615325,CHEMBL203,CHEMBL66570,IC50,7500.0,nM,=,5.12,2026-03-21 13:33:18.447979,7500.0,3.8750612633917
53758,CHEMBL674643,CHEMBL203,CHEMBL308048,IC50,800000.0,nM,=,,2026-03-21 13:33:18.447979,800000.0,5.903089986991944
53761,CHEMBL674643,CHEMBL203,CHEMBL311119,IC50,60000.0,nM,=,4.22,2026-03-21 13:33:18.447979,60000.0,4.778151250383644
53763,CHEMBL674643,CHEMBL203,CHEMBL76905,IC50,37000.0,nM,=,4.43,2026-03-21 13:33:18.447979,37000.0,4.568201724066995
53765,CHEMBL674643,CHEMBL203,CHEMBL77524,IC50,833000.0,nM,=,,2026-03-21 13:33:18.447979,833000.0,5.920645001406788
54402,CHEMBL674637,CHEMBL203,CHEMBL305194,IC50,29.0,nM,=,7.54,2026-03-21 13:33:18.447979,29.0,1.462397997898956
54405,CHEMBL621151,CHEMBL203,CHEMBL305194,IC50,5000.0,nM,>,,2026-03-21 13:33:18.447979,5000.0,3.6989700043360187
54407,CHEMBL615325,CHEMBL203,CHEMBL305194,IC50,50000.0,nM,>,,2026-03-21 13:33:18.447979,50000.0,4.698970004336019
54979,CHEMBL674643,CHEMBL203,CHEMBL307250,IC50,325000.0,nM,=,,2026-03-21 13:33:18.447979,325000.0,5.511883360978874
54990,CHEMBL674643,CHEMBL203,CHEMBL80155,IC50,6000.0,nM,=,5.22,2026-03-21 13:33:18.447979,6000.0,3.7781512503836434
56107,CHEMBL677833,CHEMBL203,CHEMBL343352,IC50,200.0,nM,=,6.7,2026-03-21 13:33:18.447979,200.0,2.3010299956639813
57335,CHEMBL677833,CHEMBL203,CHEMBL52765,IC50,44.0,nM,=,7.36,2026-03-21 13:33:18.447979,44.0,1.6434526764861874
57444,CHEMBL674643,CHEMBL203,CHEMBL311564,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979,450000.0,5.653212513775344
57445,CHEMBL674643,CHEMBL203,CHEMBL76642,IC50,75000.0,nM,=,4.12,2026-03-21 13:33:18.447979,75000.0,4.8750612633917
58119,CHEMBL674637,CHEMBL203,CHEMBL308645,IC50,4.7,nM,=,8.33,2026-03-21 13:33:18.447979,4.7,0.6720978579357175
58122,CHEMBL674637,CHEMBL203,CHEMBL67003,IC50,1.8,nM,=,8.74,2026-03-21 13:33:18.447979,1.8,0.25527250510330607
58125,CHEMBL621151,CHEMBL203,CHEMBL67003,IC50,100.0,nM,=,7.0,2026-03-21 13:33:18.447979,100.0,2.0
58604,CHEMBL674643,CHEMBL203,CHEMBL307248,IC50,640000.0,nM,=,,2026-03-21 13:33:18.447979,640000.0,5.8061799739838875
60010,CHEMBL674643,CHEMBL203,CHEMBL310958,IC50,225000.0,nM,=,,2026-03-21 13:33:18.447979,225000.0,5.352182518111363
60019,CHEMBL674643,CHEMBL203,CHEMBL78005,IC50,350000.0,nM,=,,2026-03-21 13:33:18.447979,350000.0,5.544068044350276
61241,CHEMBL677833,CHEMBL203,CHEMBL134312,IC50,11.0,nM,=,7.96,2026-03-21 13:33:18.447979,11.0,1.0413926851582251
61373,CHEMBL674643,CHEMBL203,CHEMBL77243,IC50,55000.0,nM,=,4.26,2026-03-21 13:33:18.447979,55000.0,4.740362689494244
61374,CHEMBL674643,CHEMBL203,CHEMBL80745,IC50,1200.0,nM,=,5.92,2026-03-21 13:33:18.447979,1200.0,3.0791812460476247
61378,CHEMBL674643,CHEMBL203,CHEMBL77778,IC50,450000.0,nM,=,,2026-03-21 13:33:18.447979,450000.0,5.653212513775344
62047,CHEMBL674637,CHEMBL203,CHEMBL305246,IC50,2.8,nM,=,8.55,2026-03-21 13:33:18.447979,2.8,0.4471580313422192
62050,CHEMBL621151,CHEMBL203,CHEMBL305246,IC50,100.0,nM,=,7.0,2026-03-21 13:33:18.447979,100.0,2.0
62052,CHEMBL615325,CHEMBL203,CHEMBL305246,IC50,750.0,nM,=,6.12,2026-03-21 13:33:18.447979,750.0,2.8750612633917
62054,CHEMBL674637,CHEMBL203,CHEMBL69966,IC50,18.0,nM,=,7.75,2026-03-21 13:33:18.447979,18.0,1.255272505103306
62057,CHEMBL621151,CHEMBL203,CHEMBL69966,IC50,40.0,nM,=,7.4,2026-03-21 13:33:18.447979,40.0,1.6020599913279623
62059,CHEMBL615325,CHEMBL203,CHEMBL69966,IC50,620.0,nM,=,6.21,2026-03-21 13:33:18.447979,620.0,2.792391689498254
62149,CHEMBL679674,CHEMBL203,CHEMBL47940,IC50,3200.0,nM,=,5.5,2026-03-21 13:33:18.447979,3200.0,3.505149978319906
